Service Classification,samples,avg_text_length,min_text_length,max_text_length,median_text_length,avg_word_count,min_word_count,max_word_count,median_word_count,Top_10_Words
Advertising,275,477.69,173,1089,463.0,71.38,26,177,71.0,"and(918), the(834), api(530), with(282), for(276), developers(246), their(235), advertising(233), access(226), allows(215)"
Analytics,225,421.87,191,840,434.0,66.96,26,129,71.0,"the(594), and(543), api(446), data(272), analytics(229), that(217), developers(192), for(185), provides(183), this(181)"
Application Development,225,433.23,105,1374,426.0,67.32,17,205,67.0,"the(677), and(595), api(382), for(232), applications(230), developers(218), that(204), allows(201), access(172), this(158)"
Backend,208,300.95,79,790,224.5,40.16,11,124,25.0,"and(473), api(260), the(214), for(198), provides(147), applications(105), data(97), offers(88), with(84), implements(84)"
Banking,225,506.33,133,1715,495.0,79.62,21,258,79.0,"the(824), and(701), api(566), for(278), account(252), banking(239), access(230), allows(221), that(212), services(210)"
Bitcoin,250,459.76,207,879,473.0,70.99,32,143,74.0,"the(741), and(706), api(602), bitcoin(373), developers(251), can(247), data(207), allows(207), for(206), with(206)"
Chat,200,437.54,95,1044,439.0,68.98,13,156,71.0,"the(546), and(501), api(344), chat(297), that(209), can(178), with(174), their(174), developers(171), users(169)"
Cloud,250,437.27,168,921,426.0,69.25,28,147,68.5,"and(796), the(746), cloud(495), api(466), developers(246), that(244), data(228), service(206), with(203), for(199)"
Data,250,443.84,141,1529,441.0,70.17,19,244,71.0,"the(785), and(722), api(508), data(483), that(228), for(221), allows(214), developers(213), this(197), provides(175)"
Database,250,461.45,148,1891,451.5,75.38,28,301,76.5,"and(817), the(753), api(464), data(427), database(305), that(269), allows(236), can(226), access(220), for(218)"
Domains,200,423.29,131,862,419.0,67.96,19,131,70.0,"and(503), the(490), domain(480), api(371), name(195), services(193), with(184), service(182), protocol(176), allows(175)"
Education,250,475.8,197,1278,466.0,71.33,30,197,68.5,"the(882), and(843), api(447), for(244), information(196), data(181), access(163), with(159), that(154), provides(143)"
Email,275,448.86,136,1129,438.0,68.13,18,167,66.0,"and(939), the(693), email(590), api(512), for(263), with(253), can(211), that(190), users(178), allows(174)"
Enterprise,300,469.41,116,1285,438.0,68.72,22,184,65.0,"and(1131), the(875), api(486), for(296), with(288), data(214), service(178), allows(177), that(164), access(162)"
Entertainment,200,428.46,70,688,428.5,70.08,11,126,73.5,"the(615), and(611), api(364), for(185), allows(183), that(179), users(177), developers(168), service(168), information(163)"
Events,225,462.22,90,982,472.0,74.86,12,161,77.0,"and(725), the(593), api(432), events(400), event(290), for(242), can(211), information(211), that(210), developers(203)"
File Sharing,200,420.56,75,2202,402.0,67.61,15,334,66.0,"and(572), the(482), api(354), files(278), file(271), allows(224), access(209), users(206), can(194), sharing(190)"
Financial,300,456.49,101,1433,428.0,69.44,14,228,65.0,"the(1119), and(1032), api(526), for(312), data(275), that(247), with(183), allows(175), provides(174), users(168)"
Games,250,404.84,153,886,407.0,65.5,24,137,66.0,"the(777), and(615), api(442), game(289), for(222), games(193), can(186), developers(174), users(167), allows(157)"
Government,300,491.63,83,1118,456.5,74.36,11,193,69.5,"the(1329), and(1068), data(490), api(483), for(342), information(253), government(168), access(164), provides(158), with(155)"
Images,200,437.38,124,1016,434.0,71.71,21,158,74.0,"the(558), and(490), api(446), image(274), images(269), allows(207), that(205), can(198), developers(197), users(189)"
Internet of Things,225,441.63,230,1069,444.0,69.84,33,170,72.0,"and(632), the(613), api(422), devices(273), data(235), for(225), developers(222), that(220), internet(205), applications(196)"
Mapping,300,456.42,18,1982,409.5,70.46,3,317,64.0,"the(1077), and(991), api(501), for(342), data(270), maps(208), can(196), map(192), with(175), service(170)"
Media,200,483.24,172,851,494.5,77.58,22,120,82.0,"and(695), the(576), api(383), media(305), can(242), content(240), allows(228), applications(207), video(200), users(200)"
Medical,225,522.13,34,838,531.0,80.32,5,120,84.0,"and(735), the(722), api(392), health(312), data(309), information(266), users(233), provides(231), for(230), access(227)"
Messaging,300,427.27,88,1208,388.0,65.85,14,184,60.0,"and(919), the(765), sms(592), api(490), messages(285), for(250), users(246), can(228), their(221), with(220)"
Music,250,418.86,21,1445,416.0,67.31,4,209,68.5,"the(788), and(764), music(432), api(402), for(245), users(186), that(175), access(173), allows(168), can(164)"
News Services,200,181.67,143,287,177.0,21.42,16,39,21.0,"and(347), news(313), api(138), for(95), with(94), content(75), provides(71), journalism(65), manages(52), media(49)"
Office,200,442.93,138,1112,445.0,71.8,24,165,74.0,"and(623), the(521), api(369), allows(215), users(204), data(203), can(199), that(195), service(195), applications(193)"
Other,216,181.16,146,235,182.0,19.08,18,25,19.0,"and(242), api(214), provides(207), handles(195), for(147), functionality(143), offers(137), solutions(135), requirements(128), delivers(127)"
Payments,300,458.19,153,1263,421.0,67.42,24,191,64.0,"and(1036), the(878), api(494), payment(429), for(339), payments(284), with(277), allows(196), service(167), that(167)"
Photos,250,418.48,60,1041,422.5,67.21,9,157,68.5,"the(819), and(707), api(460), photos(242), for(225), can(215), users(210), their(204), photo(199), images(193)"
Project Management,250,455.93,120,785,470.0,70.48,20,124,74.0,"and(870), the(629), api(436), management(295), project(282), with(250), users(237), allows(237), projects(211), for(199)"
Real Estate,200,438.76,77,1053,442.5,69.83,11,166,72.5,"the(584), and(537), api(342), estate(255), for(249), real(221), property(215), data(194), can(163), that(162)"
Reference,275,470.37,89,1391,455.0,72.79,18,217,71.0,"the(1070), and(872), api(431), for(312), data(245), can(167), information(165), with(164), service(163), are(153)"
Science,297,485.3,183,1482,440.0,71.73,33,225,66.0,"the(1085), and(890), for(334), api(326), data(325), provides(156), can(156), information(156), with(153), service(141)"
Search,275,462.69,34,1566,433.0,71.4,6,241,69.0,"the(923), and(854), api(498), search(447), for(299), with(178), can(172), service(171), that(171), data(166)"
Security,213,297.28,98,1123,207.0,39.54,16,177,22.0,"and(424), api(282), the(249), security(240), with(181), provides(148), implements(107), offers(98), for(98), that(66)"
Shipping,225,250.12,168,842,205.0,30.62,19,109,22.0,"and(418), shipping(316), with(215), api(202), provides(195), delivery(152), handles(147), offers(130), the(129), manages(101)"
Social,300,191.7,159,223,191.0,21.5,20,26,21.0,"and(595), social(318), with(302), api(300), networking(290), communities(286), engagement(149), features(137), participation(133), involvement(131)"
Sports,275,449.62,89,1060,443.0,69.64,12,193,69.0,"and(1005), the(857), api(509), data(318), for(294), sports(236), provides(197), sportradar(181), applications(178), with(177)"
Stocks,225,582.63,217,926,581.0,96.95,40,153,100.0,"the(1222), and(795), prices(717), data(706), exchange(616), api(455), for(428), stock(410), intrinio(382), available(364)"
Storage,200,461.69,126,901,466.0,74.94,22,131,77.0,"and(597), the(557), api(357), storage(298), users(244), data(238), cloud(233), service(218), access(218), files(204)"
Telephony,297,432.72,84,1154,410.0,65.77,14,169,62.0,"and(876), the(876), api(454), with(224), for(215), phone(181), can(176), applications(165), calls(162), allows(162)"
Tools,300,418.7,109,1350,402.0,64.9,17,207,61.0,"and(915), the(836), api(499), for(276), with(228), can(212), that(206), users(201), allows(191), service(176)"
Transportation,275,442.43,165,1747,425.0,67.92,28,280,66.0,"and(906), the(881), api(460), for(354), data(292), information(238), provides(213), that(191), service(179), developers(176)"
Travel,275,472.14,30,1570,454.0,72.6,5,245,71.0,"and(928), the(845), api(499), for(333), travel(332), information(215), can(197), with(187), that(186), their(170)"
Video,275,422.67,124,1463,420.0,65.74,18,231,63.0,"and(915), the(829), video(539), api(511), videos(234), with(232), for(230), allows(190), users(188), can(188)"
Weather,197,197.22,167,248,197.0,21.38,18,28,21.0,"weather(337), and(310), api(188), with(153), meteorological(137), monitoring(131), atmospheric(116), intelligence(116), services(103), provides(93)"
eCommerce,300,435.79,68,1284,401.5,65.95,10,204,61.0,"and(985), the(903), api(538), for(317), with(236), allows(171), developers(170), can(165), that(150), users(147)"
